Pořadí,Slovo 1,Slovo 2,Podobnost
1,detonation,detonations,0.962
2,isotopes,isotope,0.961
3,convert,converting,0.952
4,conversion,converting,0.952
5,reactors,reactor,0.948
6,create,creating,0.94
7,megaton,megatons,0.939
8,neutrons,neutron,0.937
9,infinitely,infinite,0.935
10,investments,investment,0.933
11,casing,casings,0.932
12,conversion,convert,0.93
13,converted,conversion,0.925
14,increases,increase,0.924
15,prevent,preventing,0.923
16,ingredients,ingredient,0.921
17,governments,government,0.921
18,containers,container,0.918
19,converted,convert,0.917
20,family,families,0.916
21,converted,converting,0.912
22,investments,investing,0.911
23,investing,invest,0.911
24,accounts,account,0.91
25,earthquake,earthquakes,0.908
26,weapons,weapon,0.907
27,fashioning,fashion,0.906
28,poisons,poison,0.906
29,investment,investing,0.903
30,materials,material,0.903
31,electric,electrical,0.899
32,increases,increasing,0.897
33,separate,separated,0.896
34,hundreds,thousands,0.894
35,corporate,corporation,0.892
36,property,properties,0.891
37,system,systems,0.89
38,deuteride,deuterium,0.889
39,enriching,enrich,0.889
40,investment,invest,0.888
41,buckets,bucketfuls,0.887
42,customers,customer,0.884
43,gallon,gallons,0.883
44,korean,koreans,0.883
45,likely,probably,0.882
46,bucket,buckets,0.882
47,possibly,probably,0.881
48,manufacture,manufacturing,0.88
49,hurricane,hurricanes,0.878
50,separating,separated,0.878
